Unnamed: 0,Time,User,Tweet,Location,Retweets,sentiment
30,2023-05-20 14:13:41+00:00,W4RP3DNYL15M,"RT @MicheleKnotz: @elevenlabsio is currently using voice actors' voices illegally with AI. 

https://t.co/FbeEFc82S2

""Pokemon Cosmic Quest…",crown tundra,118,positive
31,2023-05-20 14:11:50+00:00,SwanVoice,RT @Lisalisejam: 1/1 Hey Guys! Just a note.. I'm all about #Fandom and fan subs. But #AI makes things weird. Cloning an actors voice withou…,daveswansonvoice@gmail.com ,260,neutral
32,2023-05-20 14:11:41+00:00,thelastbuscs,RT @PDakkadakka: As an actual Factory Worker who has experienced machines and low skilled labor ruin wages and job markets. I smile when I…,,317,negative
33,2023-05-20 14:11:30+00:00,BrookePageBE,RT @oldschoolfrisby: This shit is an insult to voice actors. Say no to AI,,7,negative
34,2023-05-20 14:11:02+00:00,RoryDuckPond,RT @trendsryder: Thanks @BebeRexha for proving just why we need to be backing these writers and actors who are striking against the use of…,"Heaven, Iowa.",4,positive
35,2023-05-20 14:10:12+00:00,Verz5,RT @PDakkadakka: As an actual Factory Worker who has experienced machines and low skilled labor ruin wages and job markets. I smile when I…,"California, USA",317,negative
36,2023-05-20 14:10:11+00:00,ExcuseMyAshley,RT @Lisalisejam: 1/1 Hey Guys! Just a note.. I'm all about #Fandom and fan subs. But #AI makes things weird. Cloning an actors voice withou…,,260,neutral
37,2023-05-20 14:09:16+00:00,trumby,RT @dom_dinh: they’ve even resorted to modelling AI after late voice actors; completely unethical and disrespectful to the ones that came b…,,7,negative
38,2023-05-20 14:09:02+00:00,Phoenix2040_46,"RT @hackableanimal: This is 100% happening. It’s real &amp; it’s huge. I manage a comedian, impressionist, &amp; voice actor, &amp; he is already losin…","Ohio, USA",10,positive
39,2023-05-20 14:08:37+00:00,AxonSpark,"RT @JustineBateman: Show them how it’s done. 

They want to replace us w/ #AI? Chop up our past scripts &amp; bring out resulting patchwork fil…","Seattle, WA",101,neutral
40,2023-05-20 14:07:12+00:00,AudreyRoseHaven,"RT @JustineBateman: Show them how it’s done. 

They want to replace us w/ #AI? Chop up our past scripts &amp; bring out resulting patchwork fil…","Haven, Maine",101,neutral
41,2023-05-20 14:06:33+00:00,EdenPenguin007,RT @oldschoolfrisby: This shit is an insult to voice actors. Say no to AI,,7,negative
42,2023-05-20 14:06:25+00:00,EldritchxDream,RT @JoJoesArt: My friend who works for a company selling audiobooks just told me that their boss is replacing almost all their voice actors…,United States,4102,neutral
43,2023-05-20 14:06:11+00:00,SetTheMasthead,"RT @JustineBateman: Show them how it’s done. 

They want to replace us w/ #AI? Chop up our past scripts &amp; bring out resulting patchwork fil…",somewhere,101,neutral
44,2023-05-20 14:05:01+00:00,PDakkadakka,RT @PDakkadakka: As an actual Factory Worker who has experienced machines and low skilled labor ruin wages and job markets. I smile when I…,,317,negative
45,2023-05-20 14:01:43+00:00,endoearth,"@WallStreetSilv They are trying to strike about this at the wrong time imo. AI is an augmentation tool currently. Making films better and faster, only replacing redundant work. 
They have been able to recreate actors with cgi for a while now. No AI needed, AI will makes it cheaper. 

Next?… https://t.co/frI8u0E5Gf",,0,positive
46,2023-05-20 13:58:38+00:00,jodiegouldwrite,@mjnblack Do they believe that an SEC-like regulatory body should be formed to keep AI out of the hands of bad actors?,New York City,0,negative
47,2023-05-20 13:58:38+00:00,RogueTrooperYT,RT @oldschoolfrisby: This shit is an insult to voice actors. Say no to AI,Boiling Isles,7,negative
48,2023-05-20 13:58:13+00:00,gnpowell,"RT @JustineBateman: Show them how it’s done. 

They want to replace us w/ #AI? Chop up our past scripts &amp; bring out resulting patchwork fil…","Ottawa, Canada",101,neutral
49,2023-05-20 13:56:52+00:00,TerronJ,"RT @JustineBateman: Show them how it’s done. 

They want to replace us w/ #AI? Chop up our past scripts &amp; bring out resulting patchwork fil…", NJ/NYC,101,neutral
50,2023-05-20 13:56:44+00:00,_Suzie_L,"RT @breadandbutters: AI is a threat to writers, actors and directors. #WritersStrike",,11,negative
51,2023-05-20 13:55:23+00:00,DeafShowRunner,"RT @LucasBrownEyes: The fears of AI is really about capitalism. Realistically, writers are afraid that we'll have to re-write crappy AI but…","Harlem, New York",10,neutral
52,2023-05-20 13:51:20+00:00,Vivify705,"Perhaps we should have an annual Inadequate Civilizational AI Risk Preparation Mourning Day and offer prizes to whoever can produce artworks, such as speeches or short stories, that are most likely to motivate coordination from relevant actors.",,0,negative
53,2023-05-20 13:50:16+00:00,DespradoProfnd,RT @Lisalisejam: 1/1 Hey Guys! Just a note.. I'm all about #Fandom and fan subs. But #AI makes things weird. Cloning an actors voice withou…,"K-NATO, Obelisk of Wokeness",260,neutral
54,2023-05-20 13:49:37+00:00,Doccywho1014,RT @WGAEast: “the industry has been upending the writers and actors and directors for a very long time... including the use of AI. It strik…,USA,74,positive
55,2023-05-20 13:46:41+00:00,da_fishman,"RT @JustineBateman: Show them how it’s done. 

They want to replace us w/ #AI? Chop up our past scripts &amp; bring out resulting patchwork fil…",,101,neutral
56,2023-05-20 13:43:33+00:00,Incridiblefaraj,"RT @alexgraveley: Today, established AI companies and the same federal agencies are working to limit widespread AI, due to the same sorts o…",,1,negative
57,2023-05-20 13:43:12+00:00,Charles72147453,"RT @JustineBateman: Show them how it’s done. 

They want to replace us w/ #AI? Chop up our past scripts &amp; bring out resulting patchwork fil…",,101,neutral
58,2023-05-20 13:43:10+00:00,zhzm2449coke,"RT @JustineBateman: Show them how it’s done. 

They want to replace us w/ #AI? Chop up our past scripts &amp; bring out resulting patchwork fil…",,101,neutral
59,2023-05-20 13:42:52+00:00,MDS34512180,"RT @hackableanimal: This is 100% happening. It’s real &amp; it’s huge. I manage a comedian, impressionist, &amp; voice actor, &amp; he is already losin…",,10,positive
60,2023-05-20 13:42:50+00:00,AholiabBezaleel,"@Who_aint_it @pyotr5000 @vergilswarrior The current secretary of defense is Black, the incoming joint chief of staff is Black, the SEA is Black, the current AI Czar is Black, not to mention all of the Black leadership at the state and municipal levels… that’s just government actors.
We’ll make it.","Chicago, IL",0,positive
61,2023-05-20 13:42:43+00:00,NaruMembrane,RT @oldschoolfrisby: This shit is an insult to voice actors. Say no to AI,Skool,7,negative
62,2023-05-20 13:42:29+00:00,Jaime54541076,"@ErikaHarlacher Don’t worry erika! The AI won’t have as much emotion as real voice actors!! The love for characters &amp; devotion in the story of VAs CANT be replaced AI
We respect you all and love ur voice acts💞💞cuz of you guys I aspire to be a voice actor as well٩(˃̶͈̀௰˂̶͈́)و✨","By your side, pal ;)",0,positive
63,2023-05-20 13:41:23+00:00,EdenPenguin007,"RT @ItBeMeMrButts: This is the future they ask for.

Full of the same recycled sanitised jokes, stolen AI artwork that looks the same, and…",,3,positive
64,2023-05-20 13:41:06+00:00,guerinnorman,"RT @antiztheman: Real voice actors &gt; hollow robot voices
For the sake of your integrity, don't use AI voices. You can find real VAs easily.","Marseille, France",1,positive
65,2023-05-20 13:41:03+00:00,Moturoais,"RT @breadandbutters: AI is a threat to writers, actors and directors. #WritersStrike","Kentucky, USA",11,negative
66,2023-05-20 13:40:21+00:00,antiztheman,"Real voice actors &gt; hollow robot voices
For the sake of your integrity, don't use AI voices. You can find real VAs easily. https://t.co/9H8dafzMiX",,1,positive
67,2023-05-20 13:38:16+00:00,MordauntPhilip,"@WallStreetSilv I see what you are saying (if you are not in fact AI!) and I would like to see real actors in the TV and film I watch. However, striking has never worked against new technologies since the 1800's so it probably won't work now. You might have to find new creative ways to use your… https://t.co/fzJBDNOFXQ",London,0,positive
68,2023-05-20 13:37:26+00:00,karakuratownnpc,RT @PDakkadakka: As an actual Factory Worker who has experienced machines and low skilled labor ruin wages and job markets. I smile when I…,,317,negative
69,2023-05-20 13:36:21+00:00,wtp1787,"RT @hackableanimal: This is 100% happening. It’s real &amp; it’s huge. I manage a comedian, impressionist, &amp; voice actor, &amp; he is already losin…",NY,10,positive
70,2023-05-20 13:35:53+00:00,komala_hayes,"RT @JustineBateman: Show them how it’s done. 

They want to replace us w/ #AI? Chop up our past scripts &amp; bring out resulting patchwork fil…",,101,neutral
71,2023-05-20 13:34:58+00:00,paleautumnmoon,"RT @breadandbutters: AI is a threat to writers, actors and directors. #WritersStrike",,11,negative
72,2023-05-20 13:34:28+00:00,breadandbutters,"RT @JustineBateman: Show them how it’s done. 

They want to replace us w/ #AI? Chop up our past scripts &amp; bring out resulting patchwork fil…",,101,neutral
73,2023-05-20 13:34:15+00:00,bustahwoalf,RT @ShotOne_: Important issues like what? Facilitating theft? Depriving indie creators of jobs? Screw that. We'll ALWAYS support real voice…,finger pistols,32,positive
74,2023-05-20 13:34:15+00:00,PKMNCrossroads,RT @Lisalisejam: 1/1 Hey Guys! Just a note.. I'm all about #Fandom and fan subs. But #AI makes things weird. Cloning an actors voice withou…,,260,neutral
75,2023-05-20 13:32:53+00:00,tprstly,RT @tprstly: Are voice actors part of the WGA strikes or the Hollywood actors strike vote? Because generative AI is about to rob this profe…,Scotland,23,negative
76,2023-05-20 13:32:04+00:00,Schaub_MaryAnn,"RT @breadandbutters: AI is a threat to writers, actors and directors. #WritersStrike",boston,11,negative
77,2023-05-20 13:31:12+00:00,BKHei_,RT @Lisalisejam: 1/1 Hey Guys! Just a note.. I'm all about #Fandom and fan subs. But #AI makes things weird. Cloning an actors voice withou…,he/him | fl,260,neutral
78,2023-05-20 13:31:10+00:00,lb_bklyn,"RT @breadandbutters: AI is a threat to writers, actors and directors. #WritersStrike",,11,negative
79,2023-05-20 13:30:19+00:00,BobMaluga5,"@WallStreetSilv I dont think people are gonna get into AI movies and actors. 
Unless the AI gets so good they’re able to trick people into thinking the actors are real.
It will have to be a really big lie with AI awards shows, celebrity gossip media about AI actors all propping up this lie.",,0,positive
80,2023-05-20 13:30:05+00:00,KingWenclas,RT @tprstly: Are voice actors part of the WGA strikes or the Hollywood actors strike vote? Because generative AI is about to rob this profe…,Philly/Detroit/L.A./?,23,negative
81,2023-05-20 13:28:32+00:00,Erbness,RT @WGAEast: “the industry has been upending the writers and actors and directors for a very long time... including the use of AI. It strik…,USA,74,positive
82,2023-05-20 13:28:30+00:00,HarrisonSmith85,"@GareRick And on top of it all, actors who never get sick, don’t need pension and health, get into culture war scandals. Just pay a image license fee to their estates and a script made by AI with no residuals or line item pays…that’s where it is going. 

I don’t want it to be but it is.",pennsylvania,0,negative
83,2023-05-20 13:27:26+00:00,wfrolik,"RT @FarrahFazal: 🚩🚩🚩 WHY Studios WONT negotiate AI
Profit BILLIONS from writers’ work &amp; eliminate them
@JustineBateman “#AI is being used f…","Pittsburgh, PA",5,positive
84,2023-05-20 13:27:12+00:00,lb_bklyn,"RT @JustineBateman: Show them how it’s done. 

They want to replace us w/ #AI? Chop up our past scripts &amp; bring out resulting patchwork fil…",,101,neutral
85,2023-05-20 13:27:03+00:00,LongNguyen12,"RT @breadandbutters: AI is a threat to writers, actors and directors. #WritersStrike",,11,negative
86,2023-05-20 13:25:16+00:00,soulofthemedley,RT @Lisalisejam: 1/1 Hey Guys! Just a note.. I'm all about #Fandom and fan subs. But #AI makes things weird. Cloning an actors voice withou…,,260,neutral
87,2023-05-20 13:25:01+00:00,lbloom2,"RT @JustineBateman: Show them how it’s done. 

They want to replace us w/ #AI? Chop up our past scripts &amp; bring out resulting patchwork fil…",NYC,101,neutral
88,2023-05-20 13:24:32+00:00,WVGTala,"RT @JustineBateman: SAG ACTORS. 
Vote YES to this strike authorization. It means that your negotiating committee can go into AMPTP negotiat…",,204,negative
89,2023-05-20 13:23:22+00:00,wfrolik,"RT @JustineBateman: Show them how it’s done. 

They want to replace us w/ #AI? Chop up our past scripts &amp; bring out resulting patchwork fil…","Pittsburgh, PA",101,neutral
90,2023-05-20 13:22:35+00:00,kefio,"AI's evolution leaves me speechless, and it just did a mic drop with DragGAN. With this groundbreaking technology, you become the director, and pixels are your actors. Play with poses, tweak shapes, and rearrange reality with a simple drag. Mind-blowing. https://t.co/1U74ITFf5t",work in progress...,0,negative
91,2023-05-20 13:22:19+00:00,scrnwriterchic,"RT @breadandbutters: AI is a threat to writers, actors and directors. #WritersStrike","Atlanta, GA",11,negative
92,2023-05-20 13:22:06+00:00,Chloe_and_Kirea,RT @Lisalisejam: 1/1 Hey Guys! Just a note.. I'm all about #Fandom and fan subs. But #AI makes things weird. Cloning an actors voice withou…,Canada,260,neutral
93,2023-05-20 13:21:33+00:00,NOA35645327,"RT @Jfields_217: Creatives, musicians, artists, actors, voice actors…. How many of you would actually opt in to have your work used without…",,224,positive
94,2023-05-20 13:21:29+00:00,ManaKatti_,RT @Lisalisejam: 1/1 Hey Guys! Just a note.. I'm all about #Fandom and fan subs. But #AI makes things weird. Cloning an actors voice withou…,ManaKatti#0959,260,neutral
95,2023-05-20 13:20:14+00:00,kurosawasho,"RT @Jfields_217: Creatives, musicians, artists, actors, voice actors…. How many of you would actually opt in to have your work used without…",日本 東京,224,positive
96,2023-05-20 13:19:47+00:00,ROBERTSCHENKKAN,"RT @JustineBateman: Show them how it’s done. 

They want to replace us w/ #AI? Chop up our past scripts &amp; bring out resulting patchwork fil…",,101,neutral
97,2023-05-20 13:19:33+00:00,Boopa1219,"RT @breadandbutters: AI is a threat to writers, actors and directors. #WritersStrike","Chicago, IL",11,negative
98,2023-05-20 13:16:29+00:00,Kanoy44297014,RT @PDakkadakka: As an actual Factory Worker who has experienced machines and low skilled labor ruin wages and job markets. I smile when I…,"Portugal, Lisboa ",317,negative
99,2023-05-20 13:16:00+00:00,dispatchdiaz,RT @trendsryder: Thanks @BebeRexha for proving just why we need to be backing these writers and actors who are striking against the use of…,"bi, she/her, 30",4,positive
100,2023-05-20 13:15:06+00:00,BJMendelson,"RT @breadandbutters: AI is a threat to writers, actors and directors. #WritersStrike","New York, New York",11,negative
101,2023-05-20 13:14:22+00:00,TheJulieBenson,"RT @breadandbutters: AI is a threat to writers, actors and directors. #WritersStrike","Los Angeles, CA",11,negative
102,2023-05-20 13:14:07+00:00,KevinCutliffe,RT @Lisalisejam: 1/1 Hey Guys! Just a note.. I'm all about #Fandom and fan subs. But #AI makes things weird. Cloning an actors voice withou…,"Atlanta, GA",260,neutral
103,2023-05-20 13:14:07+00:00,iwritecoolstuff,"RT @kaludiasays: TLDR, they’re snake oil salesmen selling Hollywood a tool they DONT need - using AI to make the actors’ faces look like th…","New York, NY",11,positive
104,2023-05-20 13:11:16+00:00,Grissallia,"RT @breadandbutters: AI is a threat to writers, actors and directors. #WritersStrike",WarWraith left the building.,11,negative
105,2023-05-20 13:10:39+00:00,breadandbutters,"AI is a threat to writers, actors and directors. #WritersStrike https://t.co/1KAPfvA0Mn",,11,negative
106,2023-05-20 13:09:12+00:00,shxtter,RT @dom_dinh: they’ve even resorted to modelling AI after late voice actors; completely unethical and disrespectful to the ones that came b…,"Jyväskylä, Finland",7,negative
107,2023-05-20 13:08:13+00:00,JK_AlexKnight,RT @Lisalisejam: 1/1 Hey Guys! Just a note.. I'm all about #Fandom and fan subs. But #AI makes things weird. Cloning an actors voice withou…,No where important,260,neutral
108,2023-05-20 13:05:45+00:00,Haydee202020,RT @Out_ofthe_Woods: @jimrosecircus1 This isn’t a re-creation. Looks like an AI replacement to make the actors look like kids.,,1,positive
109,2023-05-20 13:03:47+00:00,oythatomugi,"RT @Jfields_217: Creatives, musicians, artists, actors, voice actors…. How many of you would actually opt in to have your work used without…",URLは画像生成AIに関するトラブルにご活用いただけます,224,positive
110,2023-05-20 13:02:07+00:00,HappyTechTweet1,"RT @JustineBateman: Show them how it’s done. 

They want to replace us w/ #AI? Chop up our past scripts &amp; bring out resulting patchwork fil…",,101,neutral
111,2023-05-20 13:02:01+00:00,INemmed,"RT @JustineBateman: Show them how it’s done. 

They want to replace us w/ #AI? Chop up our past scripts &amp; bring out resulting patchwork fil…",Chile,101,neutral
112,2023-05-20 13:00:54+00:00,nerdObaggins,RT @oldschoolfrisby: This shit is an insult to voice actors. Say no to AI,"Greenville, OH",7,negative
113,2023-05-20 13:00:39+00:00,firecat_pl,RT @PDakkadakka: As an actual Factory Worker who has experienced machines and low skilled labor ruin wages and job markets. I smile when I…,,317,negative
114,2023-05-20 13:00:31+00:00,oldschoolfrisby,This shit is an insult to voice actors. Say no to AI https://t.co/tZmAoGNZxw,None of your Business,7,negative
115,2023-05-20 12:55:32+00:00,ChristianF369,"@Kimchi_AI @heyBarsee Yes, thats the bright future of already well know actors... they just need to sell their IP to creators / studios, retiring on their lifes achievment.",Germany,0,positive
116,2023-05-20 12:54:07+00:00,trendsryder,Thanks @BebeRexha for proving just why we need to be backing these writers and actors who are striking against the use of Ai. By dropping this hideous ass video she has single-handedly showed us why it’s important to keep REAL creatives in the storytelling seats of Hollywood. https://t.co/7LVE6YGRwJ,Australia & All over the place,4,positive
117,2023-05-20 12:53:52+00:00,CargoJetgirl,RT @MerrillBarr: As everyone has predicted: attempted AI takeover for actors was always going to start with VO work. Make sure you vote yes…,,61,positive
118,2023-05-20 12:49:20+00:00,Stopthelies87,@CharlizeAfrica See u showed us what Keanu showed us they dont need actors no more to act they got ai ti take ur jobs now,,0,neutral
119,2023-05-20 12:49:10+00:00,RustyBoyStudios,"RT @JustineBateman: Show them how it’s done. 

They want to replace us w/ #AI? Chop up our past scripts &amp; bring out resulting patchwork fil…",Bootes Void,101,neutral
120,2023-05-20 12:48:58+00:00,FortheloveofDeb,"RT @JustineBateman: SAG ACTORS:
I want to talk about AI and how it will affect you.
I’m a former SAG Board Member and former SAG Negotiatin…",In the Realm of Possibilities,4425,positive
121,2023-05-20 12:47:48+00:00,suswatibasu,"RT @NationalWorld: SAG-AFTRA has recommended its members vote to back a strike, with a fall in streaming residuals and fears around AI repl…",London,4,negative
122,2023-05-20 12:47:38+00:00,SugukiJ,"RT @Jfields_217: Creatives, musicians, artists, actors, voice actors…. How many of you would actually opt in to have your work used without…",無断転載・無断使用・AIへの利用禁止,224,positive
123,2023-05-20 12:45:42+00:00,Paris_NYC_11,"@krassenstein More and more you sound like you're working for bad actors. Now you're harvesting people's voices? Why? To be able to AI and make compromising recordings?

Sounds nefarious.

PUBLIC: BEWARE",,0,negative
124,2023-05-20 12:44:20+00:00,tabbund,RT @PDakkadakka: As an actual Factory Worker who has experienced machines and low skilled labor ruin wages and job markets. I smile when I…,Dead Line Zone,317,negative
125,2023-05-20 12:43:11+00:00,Ullrson2,RT @PDakkadakka: As an actual Factory Worker who has experienced machines and low skilled labor ruin wages and job markets. I smile when I…,,317,negative
126,2023-05-20 12:42:55+00:00,yarg_bor,"RT @MicheleKnotz: @elevenlabsio is currently using voice actors' voices illegally with AI. 

https://t.co/FbeEFc82S2

""Pokemon Cosmic Quest…",United Kingdom,118,positive
127,2023-05-20 12:41:52+00:00,Arcanefamilliar,RT @tprstly: Are voice actors part of the WGA strikes or the Hollywood actors strike vote? Because generative AI is about to rob this profe…,,23,negative
128,2023-05-20 12:36:10+00:00,NoExpiration,"RT @JustineBateman: SAG ACTORS:
I want to talk about AI and how it will affect you.
I’m a former SAG Board Member and former SAG Negotiatin…",New Jersey,4425,positive
129,2023-05-20 12:36:07+00:00,707KAT,"RT @JustineBateman: Show them how it’s done. 

They want to replace us w/ #AI? Chop up our past scripts &amp; bring out resulting patchwork fil…",,101,neutral
130,2023-05-20 12:33:20+00:00,SarahSilverSTAR,RT @Lisalisejam: 1/1 Hey Guys! Just a note.. I'm all about #Fandom and fan subs. But #AI makes things weird. Cloning an actors voice withou…,Somewhere,260,neutral
131,2023-05-20 12:31:37+00:00,The__Neth,RT @dom_dinh: they’ve even resorted to modelling AI after late voice actors; completely unethical and disrespectful to the ones that came b…,Australia — Woi Wurrung Land,7,negative
132,2023-05-20 12:29:29+00:00,nerdObaggins,"RT @ItBeMeMrButts: This is the future they ask for.

Full of the same recycled sanitised jokes, stolen AI artwork that looks the same, and…","Greenville, OH",3,positive
133,2023-05-20 12:27:25+00:00,stephenbraverm1,"RT @JustineBateman: Show them how it’s done. 

They want to replace us w/ #AI? Chop up our past scripts &amp; bring out resulting patchwork fil…","New Westminster, BC, Canada",101,neutral
134,2023-05-20 12:26:38+00:00,isabookladyNYC,"RT @JustineBateman: Show them how it’s done. 

They want to replace us w/ #AI? Chop up our past scripts &amp; bring out resulting patchwork fil…","Manhattan, NY",101,neutral
135,2023-05-20 12:25:28+00:00,AnnieDaniKing,RT @tprstly: Are voice actors part of the WGA strikes or the Hollywood actors strike vote? Because generative AI is about to rob this profe…,,23,negative
136,2023-05-20 12:25:05+00:00,reversed_mind,"RT @RokoMijic: Some people in the AI risk movement say we have common cause with other groups who want to slow down AI, such as actors goin…",Uranus,1,positive
137,2023-05-20 12:24:51+00:00,theordinaryces,RT @Lisalisejam: 1/1 Hey Guys! Just a note.. I'm all about #Fandom and fan subs. But #AI makes things weird. Cloning an actors voice withou…,,260,neutral
138,2023-05-20 12:24:09+00:00,learningchem,"RT @JustineBateman: Show them how it’s done. 

They want to replace us w/ #AI? Chop up our past scripts &amp; bring out resulting patchwork fil…","Alabama, USA",101,neutral
139,2023-05-20 12:20:05+00:00,Timmiespigeon,"I'm not saying that Youtubers aren't creators, but like the actors, they are the last one that will be bothered by AI. They all will have the live easier, especially when they are already so rich, while we all die.",Tumblr: Angelspigeon,0,positive
140,2023-05-20 12:14:22+00:00,TlalocRivas,"RT @JustineBateman: Show them how it’s done. 

They want to replace us w/ #AI? Chop up our past scripts &amp; bring out resulting patchwork fil…","East Hampton, CT",101,neutral
